station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l,huc8,sample_date,year,n_congeners,segment_id
21NYDECA_WQX-24005,41.24223,-73.528847,0,50.46,5331.2,7.6,533.12,7,9,6.3,1100006.0,2023-09-26,2023,2,seg_000118
21NYDECA_WQX-24051,40.814226,-73.744182,0,78.75,5008.5,8.1,500.85,7,9,25.92,2030201.0,2023-09-27,2023,5,seg_000119
21NYDECA_WQX-2732,44.40855,-74.08426,0,183.66,214.7,11.3,21.47,4,7,7.9,4150406.0,2023-07-26,2023,3,seg_000120
21NYDECA_WQX-2923,42.95139,-73.39111,2,17.43,64.0,9.3,6.4,4,10,13.0,2020003.0,2019-10-24,2019,1,seg_000121
21NYDECA_WQX-2923,42.95139,-73.39111,2,17.43,64.0,9.3,6.4,4,4,8.6,2020003.0,2021-04-13,2021,1,seg_000122
21NYDECA_WQX-2923,42.95139,-73.39111,2,17.43,64.0,9.3,6.4,4,8,24.0,2020003.0,2021-08-18,2021,2,seg_000123
21NYDECA_WQX-3191,42.809122,-73.658308,2,38.67,82.7,9.6,8.27,4,4,2.0,2020003.0,2021-04-26,2021,1,seg_000124
21NYDECA_WQX-3191,42.809122,-73.658308,2,38.67,82.7,9.6,8.27,4,8,3.6,2020003.0,2021-08-25,2021,1,seg_000125
21NYDECA_WQX-3194,42.82274,-73.66137,2,38.6,82.7,9.6,8.27,4,4,1.9,2020003.0,2021-04-26,2021,1,seg_000126
21NYDECA_WQX-3194,42.82274,-73.66137,2,38.6,82.7,9.6,8.27,4,8,3.0,2020003.0,2021-08-25,2021,1,seg_000127
21NYDECA_WQX-3301,42.77833,-73.69667,2,42.58,86.2,9.6,8.62,4,8,3.0,2020004.0,2021-08-18,2021,1,seg_000128
21NYDECA_WQX-3387,42.820624,-73.858617,0,54.52,97.1,9.7,9.71,4,8,1.9,2020004.0,2021-08-25,2021,1,seg_000129
21NYDECA_WQX-3388,42.838248,-73.877313,0,55.79,98.3,9.8,9.83,4,8,1.7,2020004.0,2021-08-25,2021,1,seg_000130
21NYDECA_WQX-3399,43.03778,-74.84055,0,134.87,169.9,10.7,16.99,4,4,1.8,2020004.0,2021-04-12,2021,1,seg_000131
21NYDECA_WQX-3399,43.03778,-74.84055,0,134.87,169.9,10.7,16.99,4,8,2.0,2020004.0,2021-08-16,2021,1,seg_000132
21NYDECA_WQX-3541,41.30103,-73.98634,2,21.12,5621.9,7.2,562.19,7,7,1.22,2030101.0,2022-07-20,2022,2,seg_000133
21NYDECA_WQX-3616,41.662908,-73.736386,2,31.81,5548.2,7.3,554.82,7,7,2.37,2020008.0,2022-07-20,2022,3,seg_000134
21NYDECA_WQX-3620,42.180528,-73.940247,0,76.35,5046.4,8.0,504.64,7,7,3.44,2020006.0,2022-07-21,2022,4,seg_000135
21NYDECA_WQX-3621,42.31972,-73.74611,0,76.71,117.5,10.0,11.75,4,7,4.44,2020006.0,2022-07-21,2022,5,seg_000136
21NYDECA_WQX-3664,42.619495,-73.758796,0,54.45,97.0,9.7,9.7,4,10,4.2,2020006.0,2019-10-22,2019,2,seg_000137
21NYDECA_WQX-3664,42.619495,-73.758796,0,54.45,97.0,9.7,9.7,4,8,2.4,2020006.0,2021-08-16,2021,1,seg_000138
21NYDECA_WQX-3736,42.41278,-74.03584,0,86.18,125.8,10.1,12.58,4,7,2.42,2020006.0,2022-07-20,2022,4,seg_000139
21NYDECA_WQX-3793,42.25639,-73.90471,0,85.18,4953.5,8.2,495.35,7,7,3.79,2020006.0,2022-07-21,2022,4,seg_000140
21NYDECA_WQX-3818,42.3905,-73.80139,0,73.51,114.5,10.0,11.45,4,7,4.3,2020006.0,2022-07-20,2022,5,seg_000141
21NYDECA_WQX-3974,41.438813,-74.418355,2,27.66,5488.0,7.4,548.8,7,7,11.02,2020007.0,2022-07-20,2022,5,seg_000142
21NYDECA_WQX-3998,41.33306,-73.76472,2,28.5,5563.9,7.3,556.39,7,7,20.63,2030101.0,2022-07-20,2022,5,seg_000143
21NYDECA_WQX-4087,41.687831,-74.1657,2,21.2,5596.6,7.2,559.66,7,8,6.1,2020007.0,2021-08-17,2021,2,seg_000144
21NYDECA_WQX-4117,41.783264,-73.744283,2,41.0,5447.6,7.4,544.76,7,7,2.99,2020008.0,2022-07-21,2022,4,seg_000145
21NYDECA_WQX-4155,41.708764,-73.933888,2,26.13,5602.1,7.2,560.21,7,7,23.42,2020008.0,2022-07-21,2022,5,seg_000146
21NYDECA_WQX-4261,41.796212,-74.21083,2,33.82,5464.2,7.4,546.42,7,7,1.07,2020007.0,2022-07-20,2022,3,seg_000147
